plot,stress,treatment,date,seedlings
10,High,BC,1/21/10,2
11,High,MC,1/21/10,3
11,High,MR,1/21/10,1
11,High,BC,1/21/10,3
12,High,MC,1/21/10,3
12,High,MR,1/21/10,0
12,High,BC,1/21/10,2
13,High,MC,1/21/10,3
13,High,MR,1/21/10,2
13,High,BC,1/21/10,2
14,High,MC,1/21/10,4
14,High,MR,1/21/10,2
14,High,BC,1/21/10,0
15,High,MC,1/21/10,1
15,High,MR,1/21/10,0
15,High,BC,1/21/10,1
16,High,MC,1/21/10,2
16,High,MR,1/21/10,3
16,High,BC,1/21/10,2
17,High,MC,1/21/10,3
17,High,MR,1/21/10,0
17,High,BC,1/21/10,2
18,High,MC,1/21/10,4
18,High,MR,1/21/10,0
18,High,BC,1/21/10,4
1,Low,MC,1/28/10,5
1,Low,MR,1/28/10,0
1,Low,BC,1/28/10,5
2,Low,MC,1/28/10,5
2,Low,MR,1/28/10,3
2,Low,BC,1/28/10,1
3,Low,MC,1/28/10,5
3,Low,MR,1/28/10,0
3,Low,BC,1/28/10,3
4,Low,MC,1/28/10,5
4,Low,MR,1/28/10,4
4,Low,BC,1/28/10,2
5,Low,MC,1/28/10,4
5,Low,MR,1/28/10,3
5,Low,BC,1/28/10,4
6,Low,MC,1/28/10,5
6,Low,MR,1/28/10,0
6,Low,BC,1/28/10,1
7,Low,MC,1/28/10,4
7,Low,MR,1/28/10,4
7,Low,BC,1/28/10,3
8,Low,MC,1/28/10,3
8,Low,MR,1/28/10,4
8,Low,BC,1/28/10,1
9,Low,MC,1/28/10,5
9,Low,MR,1/28/10,5
9,Low,BC,1/28/10,5
10,High,MC,1/28/10,5
10,High,MR,1/28/10,4
10,High,BC,1/28/10,3
11,High,MC,1/28/10,4
11,High,MR,1/28/10,4
11,High,BC,1/28/10,4
12,High,MC,1/28/10,4
12,High,MR,1/28/10,1
12,High,BC,1/28/10,2
13,High,MC,1/28/10,5
13,High,MR,1/28/10,4
13,High,BC,1/28/10,2
14,High,MC,1/28/10,4
14,High,MR,1/28/10,3
14,High,BC,1/28/10,3
15,High,MC,1/28/10,4
15,High,MR,1/28/10,2
15,High,BC,1/28/10,1
16,High,MC,1/28/10,3
16,High,MR,1/28/10,3
16,High,BC,1/28/10,4
17,High,MC,1/28/10,5
17,High,MR,1/28/10,3
17,High,BC,1/28/10,5
18,High,MC,1/28/10,4
18,High,MR,1/28/10,3
18,High,BC,1/28/10,4
