transect,point,cover_category,species
71,6,ericameria,0
71,7,bare,brdi
71,8,bare,cach
71,9,bare,cast
71,10,bare,caed
71,11,bare,chcu
71,12,bare,chcu
71,13,bare,crco
71,14,bare,erla
71,15,bare,vubr
71,16,bare,cara
71,17,bare,0
71,18,bare,0
71,19,bare,0
71,20,bare,0
71,21,bare,0
71,22,bare,0
71,23,bare,0
71,24,moss,brdi
71,25,moss,erla
85,1,ericameria,0
85,2,ericameria,0
85,3,ericameria,0
85,4,ericameria,0
85,5,ericameria,0
85,6,ericameria,0
85,7,ericameria,0
85,8,ericameria,0
85,9,ericameria,0
85,10,ericameria,0
85,11,bare,cach
85,12,bare,cach
85,13,bare,chcu
85,14,bare,crco
85,15,bare,crle
85,16,bare,vubr
85,17,bare,0
85,18,bare,0
85,19,bare,0
85,20,moss,crco
85,21,moss,erci
85,22,moss,stme
85,23,moss,0
85,24,moss,0
85,25,moss,0
99,1,ericameria,0
99,2,ericameria,0
99,3,ericameria,0
99,4,ericameria,0
99,5,ericameria,0
99,6,ericameria,0
99,7,ericameria,0
99,8,ericameria,0
99,9,ericameria,0
99,10,ericameria,0
99,11,bare,brdi
99,12,bare,cach
99,13,bare,chcu
99,14,bare,0
99,15,bare,0
99,16,bare,0
99,17,bare,0
99,18,bare,0
99,19,bare,0
99,20,bare,0
99,21,moss,chcu
99,22,moss,erla
99,23,moss,0
99,24,moss,0
99,25,moss,0
104,1,ercameria,0
104,2,ercameria,0
104,3,ercameria,0
104,4,ercameria,0
104,5,ercameria,0
104,6,ercameria,0
104,7,ercameria,0
104,8,ercameria,0
104,9,ercameria,0
104,10,ercameria,0
104,11,ercameria,0
104,12,lupine,0
104,13,bare,crco
104,14,bare,crle
104,15,bare,0
104,16,bare,0
104,17,bare,0
104,18,bare,0
104,19,moss,erla
104,20,moss,esca
104,21,moss,poan
104,22,moss,0
104,23,moss,0
104,24,moss,0
104,25,moss,0
109,1,ericameria,0
109,2,ericameria,0
109,3,ericameria,0
109,4,ericameria,0
109,5,ericameria,0
109,6,ericameria,0
109,7,ericameria,0
109,8,ericameria,0
109,9,ericameria,0
109,10,bare,caed
109,11,bare,caed
109,12,bare,caed
109,13,bare,caed
109,14,bare,chcu
109,15,bare,erci
109,16,bare,0
109,17,bare,0
109,18,bare,0
109,19,bare,0
109,20,bare,0
109,21,moss,cast
109,22,moss,esca
109,23,moss,nepe
109,24,moss,0
109,25,moss,0
123,1,ericameria,0
123,2,ericameria,0
123,3,ericameria,0
123,4,ericameria,0
123,5,ericameria,0
123,6,ericameria,0
123,7,ericameria,0
123,8,ericameria,0
123,9,ericameria,0
123,10,ericameria,0
123,11,ericameria,0
123,12,ericameria,0
123,13,ericameria,0
123,14,bare,cach
123,15,bare,cast
123,16,bare,crco
123,17,bare,0
123,18,bare,0
123,19,bare,0
123,20,moss,chcu
123,21,moss,chcu
123,22,moss,clpe
123,23,moss,0
123,24,moss,0
123,25,moss,0
137,1,ericameria,0
137,2,ericameria,0
137,3,ericameria,0
137,4,ericameria,0
137,5,ericameria,0
137,6,ericameria,0
137,7,ericameria,0
137,8,ericameria,0
137,9,ericameria,0
137,10,ericameria,0
137,11,bare,chcu
137,12,bare,vubr
137,13,bare,0
137,14,bare,0
137,15,bare,0
137,16,bare,0
137,17,bare,0
137,18,bare,0
137,19,moss,chcu
137,20,moss,chcu
137,21,moss,vubr
137,22,moss,0
137,23,moss,0
137,24,moss,0
137,25,moss,0
142,1,ericameria,0
142,2,ericameria,0
142,3,ericameria,0
142,4,ericameria,0
142,5,ericameria,0
142,6,ericameria,0
142,7,ericameria,0
142,8,ericameria,0
142,9,ericameria,0
142,10,ericameria,0
142,11,bare,0
142,12,bare,0
142,13,bare,0
142,14,moss,chcu
142,15,moss,chcu
142,16,moss,clpe
142,17,moss,erci
142,18,moss,hygl
142,19,moss,pote
142,20,moss,pote
142,21,moss,cegl
142,22,moss,0
142,23,moss,0
142,24,moss,0
142,25,moss,0
147,1,ericameria,0
147,2,ericameria,0
147,3,ericameria,0
147,4,ericameria,0
147,5,ericameria,0
147,6,ericameria,0
147,7,ericameria,0
147,8,ericameria,0
147,9,ericameria,0
147,10,bare,chcu
147,11,bare,chcu
147,12,bare,vubr
147,13,bare,0
147,14,bare,0
147,15,bare,0
147,16,moss,apoc
147,17,moss,caci
147,18,moss,clpe
147,19,moss,gimi
147,20,moss,hygl
147,21,moss,vubr
147,22,moss,0
147,23,moss,0
147,24,moss,0
147,25,moss,0
161,1,ericameria,0
161,2,ericameria,0
161,3,ericameria,0
161,4,ericameria,0
161,5,ericameria,0
161,6,ericameria,0
161,7,ericameria,0
161,8,bare,chcu
161,9,bare,ruac
161,10,bare,0
161,11,bare,0
161,12,bare,0
161,13,bare,0
161,14,bare,0
161,15,moss,brdi
161,16,moss,caci
161,17,moss,chcu
161,18,moss,chcu
161,19,moss,chcu
161,20,moss,clpe
161,21,moss,crco
161,22,moss,hygl
161,23,moss,podo
161,24,moss,vubr
161,25,moss,0
175,1,ericameria,0
175,2,ericameria,0
175,3,ericameria,0
175,4,bare,chcu
175,5,bare,chcu
175,6,bare,chcu
175,7,bare,chcu
175,8,bare,crco
175,9,bare,cara
175,10,bare,0
175,11,bare,0
175,12,bare,0
175,13,bare,0
175,14,bare,0
175,15,bare,0
175,16,moss,chcu
175,17,moss,chcu
175,18,moss,chcu
175,19,moss,chcu
175,20,moss,crco
175,21,moss,crco
175,22,moss,lica
175,23,moss,vubr
175,24,moss,0
175,25,moss,0
180,1,ericameria,0
180,2,ericameria,0
180,3,ericameria,0
180,4,ericameria,0
180,5,ericameria,0
180,6,bare,cast
180,7,bare,chcu
180,8,bare,chcu
180,9,bare,crco
180,10,bare,poun
180,11,bare,cara
180,12,bare,0
180,13,bare,0
180,14,bare,0
180,15,bare,0
180,16,bare,0
180,17,bare,0
180,18,moss,chcu
180,19,moss,chcu
180,20,moss,chcu
180,21,moss,hygl
180,22,moss,vubr
180,23,moss,pote
180,24,moss,0
180,25,moss,0
185,1,ericameria,0
185,2,bare,cast
185,3,bare,chcu
185,4,bare,chcu
185,5,bare,chcu
185,6,bare,crco
185,7,bare,ruac
185,8,bare,pote
185,9,bare,pote
185,10,bare,0
185,11,bare,0
185,12,bare,0
185,13,bare,0
185,14,bare,0
185,15,bare,0
185,16,moss,chcu
185,17,moss,chcu
185,18,moss,chcu
185,19,moss,chcu
185,20,moss,dapu
185,21,moss,hygl
185,22,moss,vubr
185,23,moss,cara
185,24,moss,pote
185,25,moss,pote
199,1,ericameria,0
199,2,ericameria,0
199,3,ericameria,0
199,4,ericameria,0
199,5,ericameria,0
199,6,ericameria,0
199,7,ericameria,0
199,8,ericameria,0
199,9,bare,chcu
199,10,bare,chcu
199,11,bare,clpe
199,12,bare,0
199,13,bare,0
199,14,bare,0
199,15,bare,0
199,16,bare,0
199,17,bare,0
199,18,moss,chcu
199,19,moss,chcu
199,20,moss,chcu
199,21,moss,chcu
199,22,moss,crle
199,23,moss,hesp
199,24,moss,0
199,25,moss,0
213,1,ericameria,0
213,2,ericameria,0
213,3,bare,chcu
213,4,bare,chcu
213,5,bare,chcu
213,6,bare,chcu
213,7,bare,pote
213,8,bare,pote
213,9,bare,vubr
213,10,bare,cach
213,11,bare,dapu
213,12,bare,0
213,13,bare,0
213,14,bare,0
213,15,bare,0
213,16,bare,0
213,17,bare,0
213,18,moss,chcu
213,19,moss,pote
213,20,moss,vubr
213,21,moss,vubr
213,22,moss,crco
213,23,moss,hesp
213,24,moss,hesp
213,25,moss,cach
218,1,bare,chcu
218,2,bare,chcu
218,3,bare,chcu
218,4,bare,chcu
218,5,bare,chcu
218,6,bare,chcu
218,7,bare,chcu
218,8,bare,chcu
218,9,bare,chcu
218,10,bare,pote
218,11,bare,vubr
218,12,bare,crco
218,13,bare,crco
218,14,bare,crco
218,15,bare,cach
218,16,bare,lica
218,17,bare,0
218,18,bare,0
218,19,bare,0
218,20,bare,0
218,21,bare,0
218,22,bare,0
218,23,moss,pote
218,24,moss,podo
218,25,moss,0
